2020-11-19 20:03:48 install libpsl5:amd64 <none> 0.20.2-2
2020-11-19 20:03:48 status half-installed libpsl5:amd64 0.20.2-2
2020-11-19 20:03:48 status unpacked libpsl5:amd64 0.20.2-2
2020-11-19 20:03:48 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2
2020-11-19 20:03:48 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2020-11-19 20:03:48 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2
2020-11-19 20:03:48 install libssh2-1:amd64 <none> 1.8.0-2.1
2020-11-19 20:03:48 status half-installed libssh2-1:amd64 1.8.0-2.1
2020-11-19 20:03:48 status unpacked libssh2-1:amd64 1.8.0-2.1
2020-11-19 20:03:48 install libcurl4:amd64 <none> 7.64.0-4+deb10u1
2020-11-19 20:03:48 status half-installed libcurl4:amd64 7.64.0-4+deb10u1
2020-11-19 20:03:48 status unpacked libcurl4:amd64 7.64.0-4+deb10u1
2020-11-19 20:03:48 install curl:amd64 <none> 7.64.0-4+deb10u1
2020-11-19 20:03:48 status half-installed curl:amd64 7.64.0-4+deb10u1
2020-11-19 20:03:48 status unpacked curl:amd64 7.64.0-4+deb10u1
2020-11-19 20:03:48 install libpcre2-8-0:amd64 <none> 10.32-5
2020-11-19 20:03:48 status half-installed libpcre2-8-0:amd64 10.32-5
2020-11-19 20:03:48 status unpacked libpcre2-8-0:amd64 10.32-5
2020-11-19 20:03:48 install lsb-base:all <none> 10.2019051400
2020-11-19 20:03:48 status half-installed lsb-base:all 10.2019051400
2020-11-19 20:03:48 status unpacked lsb-base:all 10.2019051400
2020-11-19 20:03:48 install unit:amd64 <none> 1.21.0-1~buster
2020-11-19 20:03:48 status half-installed unit:amd64 1.21.0-1~buster
2020-11-19 20:03:48 status unpacked unit:amd64 1.21.0-1~buster
2020-11-19 20:03:48 startup packages configure
2020-11-19 20:03:48 configure lsb-base:all 10.2019051400 <none>
2020-11-19 20:03:48 status unpacked lsb-base:all 10.2019051400
2020-11-19 20:03:48 status half-configured lsb-base:all 10.2019051400
2020-11-19 20:03:48 status installed lsb-base:all 10.2019051400
2020-11-19 20:03:48 configure libkeyutils1:amd64 1.6-6 <none>
2020-11-19 20:03:48 status unpacked libkeyutils1:amd64 1.6-6
2020-11-19 20:03:48 status half-configured libkeyutils1:amd64 1.6-6
2020-11-19 20:03:48 status installed libkeyutils1:amd64 1.6-6
2020-11-19 20:03:48 configure libpsl5:amd64 0.20.2-2 <none>
2020-11-19 20:03:48 status unpacked libpsl5:amd64 0.20.2-2
2020-11-19 20:03:48 status half-configured libpsl5:amd64 0.20.2-2
